uid	scene	sent	type	bucket	context	text	guess_speaker	guess_conf	gold_speaker	target	checked	note
1-34	1	34	action	物理	这是旅途生活中常见的光景。 ‖ 在他乡远地遇到了意气投和的人物，痛饮达旦，乃至心中将对方视为莫逆之交，对方却只说一句还有家人在，就此匆匆离开。在这些人眼中 ，旅人终究只是旅人，是许多来客中的一人，而他们还有属于他们的，坚固不变的日常生活。 ‖ 他们会回到炉火温暖，笑语满溢的家中。可是，旅人却必须独自回归寂静的旅舍，然后到了明日，又要向下一个市镇出发。 ‖ ►艾尔莎大概已经在她的短暂旅途中体会过了这样的寂寥感。 ‖ 艾尔莎总是将发型整理得一丝不苟，蜂蜜色的眼睛总是目光锐利，直视着真相。但罗伦斯知道在这些东西的背后， 还有一个比常人更温柔体贴的艾尔莎。 ‖ 不然的话，她也就不会为那个怕寂寞的狼操心，担心自己提起的道别会让对方难过。	艾尔莎大概已经在她的短暂旅途中体会过了这样的寂寥感。	艾尔莎	0.55	艾尔莎			
1-35	1	35	action	物理	在他乡远地遇到了意气投和的人物，痛饮达旦，乃至心中将对方视为莫逆之交，对方却只说一句还有家人在，就此匆匆离开。在这些人眼中 ，旅人终究只是旅人，是许多来客中的一人，而他们还有属于他们的，坚固不变的日常生活。 ‖ 他们会回到炉火温暖，笑语满溢的家中。可是，旅人却必须独自回归寂静的旅舍，然后到了明日，又要向下一个市镇出发。 ‖ 艾尔莎大概已经在她的短暂旅途中体会过了这样的寂寥感。 ‖ ►艾尔莎总是将发型整理得一丝不苟，蜂蜜色的眼睛总是目光锐利，直视着真相。但罗伦斯知道在这些东西的背后， 还有一个比常人更温柔体贴的艾尔莎。 ‖ 不然的话，她也就不会为那个怕寂寞的狼操心，担心自己提起的道别会让对方难过。 ‖ “那么，要不然我主动对你提起旅行的话题，如何呢？我想我跟她也差不多该出发去下一个地方了。”	艾尔莎总是将发型整理得一丝不苟，蜂蜜色的眼睛总是目光锐利，直视着真相。但罗伦斯知道在这些东西的背后， 还有一个比常人更温柔体贴的艾尔莎。	艾尔莎	0.55	艾尔莎			
1-36	1	36	action	心理	他们会回到炉火温暖，笑语满溢的家中。可是，旅人却必须独自回归寂静的旅舍，然后到了明日，又要向下一个市镇出发。 ‖ 艾尔莎大概已经在她的短暂旅途中体会过了这样的寂寥感。 ‖ 艾尔莎总是将发型整理得一丝不苟，蜂蜜色的眼睛总是目光锐利，直视着真相。但罗伦斯知道在这些东西的背后， 还有一个比常人更温柔体贴的艾尔莎。 ‖ ►不然的话，她也就不会为那个怕寂寞的狼操心，担心自己提起的道别会让对方难过。 ‖ “那么，要不然我主动对你提起旅行的话题，如何呢？我想我跟她也差不多该出发去下一个地方了。” ‖ 也许是怀着一种“瞒着赫萝，同罗伦斯秘密谋划事情”的内疚，艾尔莎没有立即给出回答，但她最后还是点了点头。	不然的话，她也就不会为那个怕寂寞的狼操心，担心自己提起的道别会让对方难过。	赫萝	0.55	赫萝			
1-37	1	37	dialogue	anaphoric	艾尔莎大概已经在她的短暂旅途中体会过了这样的寂寥感。 ‖ 艾尔莎总是将发型整理得一丝不苟，蜂蜜色的眼睛总是目光锐利，直视着真相。但罗伦斯知道在这些东西的背后， 还有一个比常人更温柔体贴的艾尔莎。 ‖ 不然的话，她也就不会为那个怕寂寞的狼操心，担心自己提起的道别会让对方难过。 ‖ ►“那么，要不然我主动对你提起旅行的话题，如何呢？我想我跟她也差不多该出发去下一个地方了。” ‖ 也许是怀着一种“瞒着赫萝，同罗伦斯秘密谋划事情”的内疚，艾尔莎没有立即给出回答，但她最后还是点了点头。 ‖ 然后，自嘲地笑着说。	那么，要不然我主动对你提起旅行的话题，如何呢？我想我跟她也差不多该出发去下一个地方了。	赫萝	0.65	罗伦斯		y	
1-38	1	38	dialogue	explicit	艾尔莎总是将发型整理得一丝不苟，蜂蜜色的眼睛总是目光锐利，直视着真相。但罗伦斯知道在这些东西的背后， 还有一个比常人更温柔体贴的艾尔莎。 ‖ 不然的话，她也就不会为那个怕寂寞的狼操心，担心自己提起的道别会让对方难过。 ‖ “那么，要不然我主动对你提起旅行的话题，如何呢？我想我跟她也差不多该出发去下一个地方了。” ‖ ►也许是怀着一种“瞒着赫萝，同罗伦斯秘密谋划事情”的内疚，艾尔莎没有立即给出回答，但她最后还是点了点头。 ‖ 然后，自嘲地笑着说。 ‖ “我居然要借助别人帮忙才能说出难说出口的事情，简直就像个小孩子一样啊。”	瞒着赫萝，同罗伦斯秘密谋划事情	赫萝	0.95	—		y	
1-40	1	40	dialogue	anaphoric	“那么，要不然我主动对你提起旅行的话题，如何呢？我想我跟她也差不多该出发去下一个地方了。” ‖ 也许是怀着一种“瞒着赫萝，同罗伦斯秘密谋划事情”的内疚，艾尔莎没有立即给出回答，但她最后还是点了点头。 ‖ 然后，自嘲地笑着说。 ‖ ►“我居然要借助别人帮忙才能说出难说出口的事情，简直就像个小孩子一样啊。” ‖ 刚刚与罗伦斯相遇时的艾尔莎，恐怕会以事实就是事实为理由，毫不犹豫地开口同赫萝告别。 ‖ 但是，罗伦斯心中有不同于艾尔莎的看法。	我居然要借助别人帮忙才能说出难说出口的事情，简直就像个小孩子一样啊。	罗伦斯	0.65	艾尔莎		y	
1-41	1	41	action	心理	也许是怀着一种“瞒着赫萝，同罗伦斯秘密谋划事情”的内疚，艾尔莎没有立即给出回答，但她最后还是点了点头。 ‖ 然后，自嘲地笑着说。 ‖ “我居然要借助别人帮忙才能说出难说出口的事情，简直就像个小孩子一样啊。” ‖ ►刚刚与罗伦斯相遇时的艾尔莎，恐怕会以事实就是事实为理由，毫不犹豫地开口同赫萝告别。 ‖ 但是，罗伦斯心中有不同于艾尔莎的看法。 ‖ “知道如何依靠别人，我觉得这才是成熟的标志。”	刚刚与罗伦斯相遇时的艾尔莎，恐怕会以事实就是事实为理由，毫不犹豫地开口同赫萝告别。	罗伦斯	0.55	罗伦斯			
1-42	1	42	action	物理	然后，自嘲地笑着说。 ‖ “我居然要借助别人帮忙才能说出难说出口的事情，简直就像个小孩子一样啊。” ‖ 刚刚与罗伦斯相遇时的艾尔莎，恐怕会以事实就是事实为理由，毫不犹豫地开口同赫萝告别。 ‖ ►但是，罗伦斯心中有不同于艾尔莎的看法。 ‖ “知道如何依靠别人，我觉得这才是成熟的标志。” ‖ 他自己刚刚立志要成为独立的旅行商人时，也曾以为一个人解决所有问题就代表这个人的成熟。	但是，罗伦斯心中有不同于艾尔莎的看法。	罗伦斯	0.55	罗伦斯			
1-43	1	43	dialogue	anaphoric	“我居然要借助别人帮忙才能说出难说出口的事情，简直就像个小孩子一样啊。” ‖ 刚刚与罗伦斯相遇时的艾尔莎，恐怕会以事实就是事实为理由，毫不犹豫地开口同赫萝告别。 ‖ 但是，罗伦斯心中有不同于艾尔莎的看法。 ‖ ►“知道如何依靠别人，我觉得这才是成熟的标志。” ‖ 他自己刚刚立志要成为独立的旅行商人时，也曾以为一个人解决所有问题就代表这个人的成熟。 ‖ 当然，那只是涉世未深的年轻人的一己之见，不久之后罗伦斯就切身实地地学到了这个道理。	知道如何依靠别人，我觉得这才是成熟的标志。	罗伦斯	0.65	罗伦斯		y	
1-44	1	44	action	物理	刚刚与罗伦斯相遇时的艾尔莎，恐怕会以事实就是事实为理由，毫不犹豫地开口同赫萝告别。 ‖ 但是，罗伦斯心中有不同于艾尔莎的看法。 ‖ “知道如何依靠别人，我觉得这才是成熟的标志。” ‖ ►他自己刚刚立志要成为独立的旅行商人时，也曾以为一个人解决所有问题就代表这个人的成熟。 ‖ 当然，那只是涉世未深的年轻人的一己之见，不久之后罗伦斯就切身实地地学到了这个道理。 ‖ “……如果您不在赫萝的身边，那您一定能成为一个了不起的人物。”	他自己刚刚立志要成为独立的旅行商人时，也曾以为一个人解决所有问题就代表这个人的成熟。	罗伦斯	0.55	罗伦斯			
1-45	1	45	action	物理	但是，罗伦斯心中有不同于艾尔莎的看法。 ‖ “知道如何依靠别人，我觉得这才是成熟的标志。” ‖ 他自己刚刚立志要成为独立的旅行商人时，也曾以为一个人解决所有问题就代表这个人的成熟。 ‖ ►当然，那只是涉世未深的年轻人的一己之见，不久之后罗伦斯就切身实地地学到了这个道理。 ‖ “……如果您不在赫萝的身边，那您一定能成为一个了不起的人物。” ‖ 艾尔莎的语气听起来又像是无奈，又像是揶揄，罗伦斯则坦率地回以笑容。	当然，那只是涉世未深的年轻人的一己之见，不久之后罗伦斯就切身实地地学到了这个道理。	罗伦斯	0.55	罗伦斯			
1-46	1	46	dialogue	explicit	“知道如何依靠别人，我觉得这才是成熟的标志。” ‖ 他自己刚刚立志要成为独立的旅行商人时，也曾以为一个人解决所有问题就代表这个人的成熟。 ‖ 当然，那只是涉世未深的年轻人的一己之见，不久之后罗伦斯就切身实地地学到了这个道理。 ‖ ►“……如果您不在赫萝的身边，那您一定能成为一个了不起的人物。” ‖ 艾尔莎的语气听起来又像是无奈，又像是揶揄，罗伦斯则坦率地回以笑容。 ‖ “毕竟我早就被调教得服服帖帖了。”	……如果您不在赫萝的身边，那您一定能成为一个了不起的人物。	赫萝	0.80	艾尔莎		y	
1-47	1	47	action	物理	他自己刚刚立志要成为独立的旅行商人时，也曾以为一个人解决所有问题就代表这个人的成熟。 ‖ 当然，那只是涉世未深的年轻人的一己之见，不久之后罗伦斯就切身实地地学到了这个道理。 ‖ “……如果您不在赫萝的身边，那您一定能成为一个了不起的人物。” ‖ ►艾尔莎的语气听起来又像是无奈，又像是揶揄，罗伦斯则坦率地回以笑容。 ‖ “毕竟我早就被调教得服服帖帖了。” ‖ 像是城里少女般夸张地耸了耸肩膀之后，艾尔莎大笑起来。	艾尔莎的语气听起来又像是无奈，又像是揶揄，罗伦斯则坦率地回以笑容。	艾尔莎	0.55	艾尔莎			
1-48	1	48	dialogue	anaphoric	当然，那只是涉世未深的年轻人的一己之见，不久之后罗伦斯就切身实地地学到了这个道理。 ‖ “……如果您不在赫萝的身边，那您一定能成为一个了不起的人物。” ‖ 艾尔莎的语气听起来又像是无奈，又像是揶揄，罗伦斯则坦率地回以笑容。 ‖ ►“毕竟我早就被调教得服服帖帖了。” ‖ 像是城里少女般夸张地耸了耸肩膀之后，艾尔莎大笑起来。 ‖ “最初寄那封信给你们的时候，我没有抱多少希望。但还是在意想不到的地方见到了你们二位，既然如此，我就相信我们还会再见吧。”	毕竟我早就被调教得服服帖帖了。	艾尔莎	0.65	罗伦斯		y	
1-49	1	49	action	物理	“……如果您不在赫萝的身边，那您一定能成为一个了不起的人物。” ‖ 艾尔莎的语气听起来又像是无奈，又像是揶揄，罗伦斯则坦率地回以笑容。 ‖ “毕竟我早就被调教得服服帖帖了。” ‖ ►像是城里少女般夸张地耸了耸肩膀之后，艾尔莎大笑起来。 ‖ “最初寄那封信给你们的时候，我没有抱多少希望。但还是在意想不到的地方见到了你们二位，既然如此，我就相信我们还会再见吧。” ‖ 艾尔莎说这番话的时候，目光没有望向罗伦斯。纽希拉和特雷欧村相隔遥远，何况他们双方都已不再年轻，一般想来，再会是很难的。	像是城里少女般夸张地耸了耸肩膀之后，艾尔莎大笑起来。	艾尔莎	0.55	艾尔莎			
1-50	1	50	dialogue	anaphoric	艾尔莎的语气听起来又像是无奈，又像是揶揄，罗伦斯则坦率地回以笑容。 ‖ “毕竟我早就被调教得服服帖帖了。” ‖ 像是城里少女般夸张地耸了耸肩膀之后，艾尔莎大笑起来。 ‖ ►“最初寄那封信给你们的时候，我没有抱多少希望。但还是在意想不到的地方见到了你们二位，既然如此，我就相信我们还会再见吧。” ‖ 艾尔莎说这番话的时候，目光没有望向罗伦斯。纽希拉和特雷欧村相隔遥远，何况他们双方都已不再年轻，一般想来，再会是很难的。 ‖ 罗伦斯将视线从艾尔莎的侧像上移开，和她一样望着面前，开口说。	最初寄那封信给你们的时候，我没有抱多少希望。但还是在意想不到的地方见到了你们二位，既然如此，我就相信我们还会再见吧。	艾尔莎	0.65	艾尔莎		y	
1-51	1	51	action	心理	“毕竟我早就被调教得服服帖帖了。” ‖ 像是城里少女般夸张地耸了耸肩膀之后，艾尔莎大笑起来。 ‖ “最初寄那封信给你们的时候，我没有抱多少希望。但还是在意想不到的地方见到了你们二位，既然如此，我就相信我们还会再见吧。” ‖ ►艾尔莎说这番话的时候，目光没有望向罗伦斯。纽希拉和特雷欧村相隔遥远，何况他们双方都已不再年轻，一般想来，再会是很难的。 ‖ 罗伦斯将视线从艾尔莎的侧像上移开，和她一样望着面前，开口说。 ‖ “唯独这句话，请你一定要对赫萝讲出来。”??????????????????	艾尔莎说这番话的时候，目光没有望向罗伦斯。纽希拉和特雷欧村相隔遥远，何况他们双方都已不再年轻，一般想来，再会是很难的。	艾尔莎	0.55	艾尔莎			
1-52	1	52	action	物理	像是城里少女般夸张地耸了耸肩膀之后，艾尔莎大笑起来。 ‖ “最初寄那封信给你们的时候，我没有抱多少希望。但还是在意想不到的地方见到了你们二位，既然如此，我就相信我们还会再见吧。” ‖ 艾尔莎说这番话的时候，目光没有望向罗伦斯。纽希拉和特雷欧村相隔遥远，何况他们双方都已不再年轻，一般想来，再会是很难的。 ‖ ►罗伦斯将视线从艾尔莎的侧像上移开，和她一样望着面前，开口说。 ‖ “唯独这句话，请你一定要对赫萝讲出来。”?????????????????? ‖ 他不知道此时艾尔莎的视线是否正盯着自己。	罗伦斯将视线从艾尔莎的侧像上移开，和她一样望着面前，开口说。	罗伦斯	0.55	罗伦斯			
1-53	1	53	dialogue	explicit	“最初寄那封信给你们的时候，我没有抱多少希望。但还是在意想不到的地方见到了你们二位，既然如此，我就相信我们还会再见吧。” ‖ 艾尔莎说这番话的时候，目光没有望向罗伦斯。纽希拉和特雷欧村相隔遥远，何况他们双方都已不再年轻，一般想来，再会是很难的。 ‖ 罗伦斯将视线从艾尔莎的侧像上移开，和她一样望着面前，开口说。 ‖ ►“唯独这句话，请你一定要对赫萝讲出来。”?????????????????? ‖ 他不知道此时艾尔莎的视线是否正盯着自己。 ‖ 只看到城镇广场上最热闹的那家酒馆前，今日依旧铺开酒宴佳肴。	唯独这句话，请你一定要对赫萝讲出来。	赫萝	0.95	罗伦斯	艾尔莎	y	
1-54	1	54	action	物理	艾尔莎说这番话的时候，目光没有望向罗伦斯。纽希拉和特雷欧村相隔遥远，何况他们双方都已不再年轻，一般想来，再会是很难的。 ‖ 罗伦斯将视线从艾尔莎的侧像上移开，和她一样望着面前，开口说。 ‖ “唯独这句话，请你一定要对赫萝讲出来。”?????????????????? ‖ ►他不知道此时艾尔莎的视线是否正盯着自己。 ‖ 只看到城镇广场上最热闹的那家酒馆前，今日依旧铺开酒宴佳肴。 ‖ 即便在那样的骚乱嘈杂里，他也很快辨认出了那个轮廓，罗伦斯心中挚爱的那头狼的背影。	他不知道此时艾尔莎的视线是否正盯着自己。	艾尔莎	0.55	艾尔莎			
1-56	1	56	action	物理	“唯独这句话，请你一定要对赫萝讲出来。”?????????????????? ‖ 他不知道此时艾尔莎的视线是否正盯着自己。 ‖ 只看到城镇广场上最热闹的那家酒馆前，今日依旧铺开酒宴佳肴。 ‖ ►即便在那样的骚乱嘈杂里，他也很快辨认出了那个轮廓，罗伦斯心中挚爱的那头狼的背影。 ‖ “能不能好好地说出口，我心里有点没自信。” ‖ 尽管艾尔莎嘴上是这样说，但与赫萝以及塔妮娅汇合之后，罗伦斯如事先承诺地一样提起了今后的话题，艾尔莎还是很淡然地说出了她要说的话：自己差不多该回到特雷欧村去了，能与赫萝再会，她感到很开心。	即便在那样的骚乱嘈杂里，他也很快辨认出了那个轮廓，罗伦斯心中挚爱的那头狼的背影。	罗伦斯	0.55	罗伦斯			
1-57	1	57	dialogue	anaphoric	他不知道此时艾尔莎的视线是否正盯着自己。 ‖ 只看到城镇广场上最热闹的那家酒馆前，今日依旧铺开酒宴佳肴。 ‖ 即便在那样的骚乱嘈杂里，他也很快辨认出了那个轮廓，罗伦斯心中挚爱的那头狼的背影。 ‖ ►“能不能好好地说出口，我心里有点没自信。” ‖ 尽管艾尔莎嘴上是这样说，但与赫萝以及塔妮娅汇合之后，罗伦斯如事先承诺地一样提起了今后的话题，艾尔莎还是很淡然地说出了她要说的话：自己差不多该回到特雷欧村去了，能与赫萝再会，她感到很开心。 ‖ 也许是因为已经喝醉了酒，又或是因为要在塔妮娅面前表现出大姐的气度，赫萝没有对艾尔莎的道别表现出多悲伤的模样。	能不能好好地说出口，我心里有点没自信。	艾尔莎	0.65	艾尔莎		y	
1-58	1	58	action	物理	只看到城镇广场上最热闹的那家酒馆前，今日依旧铺开酒宴佳肴。 ‖ 即便在那样的骚乱嘈杂里，他也很快辨认出了那个轮廓，罗伦斯心中挚爱的那头狼的背影。 ‖ “能不能好好地说出口，我心里有点没自信。” ‖ ►尽管艾尔莎嘴上是这样说，但与赫萝以及塔妮娅汇合之后，罗伦斯如事先承诺地一样提起了今后的话题，艾尔莎还是很淡然地说出了她要说的话：自己差不多该回到特雷欧村去了，能与赫萝再会，她感到很开心。 ‖ 也许是因为已经喝醉了酒，又或是因为要在塔妮娅面前表现出大姐的气度，赫萝没有对艾尔莎的道别表现出多悲伤的模样。 ‖ 再会吧。艾尔莎对她说出稍早了一些的道别之辞后，赫萝也表现得很积极，似乎是已经开始期待彼此的重逢了。	尽管艾尔莎嘴上是这样说，但与赫萝以及塔妮娅汇合之后，罗伦斯如事先承诺地一样提起了今后的话题，艾尔莎还是很淡然地说出了她要说的话：自己差不多该回到特雷欧村去了，能与赫萝再会，她感到很开心。	艾尔莎	0.55	艾尔莎			
1-59	1	59	action	物理	即便在那样的骚乱嘈杂里，他也很快辨认出了那个轮廓，罗伦斯心中挚爱的那头狼的背影。 ‖ “能不能好好地说出口，我心里有点没自信。” ‖ 尽管艾尔莎嘴上是这样说，但与赫萝以及塔妮娅汇合之后，罗伦斯如事先承诺地一样提起了今后的话题，艾尔莎还是很淡然地说出了她要说的话：自己差不多该回到特雷欧村去了，能与赫萝再会，她感到很开心。 ‖ ►也许是因为已经喝醉了酒，又或是因为要在塔妮娅面前表现出大姐的气度，赫萝没有对艾尔莎的道别表现出多悲伤的模样。 ‖ 再会吧。艾尔莎对她说出稍早了一些的道别之辞后，赫萝也表现得很积极，似乎是已经开始期待彼此的重逢了。 ‖ 当天晚上，塔妮娅和艾尔莎一同回到教会，罗伦斯则是拉着脚下已经踉踉跄跄的赫萝回到旅舍。他有了一种错觉，仿佛赫萝是借着酒力才承担住了旅途中难免的离别寂寞，并且将它轻轻地放在脚旁。	也许是因为已经喝醉了酒，又或是因为要在塔妮娅面前表现出大姐的气度，赫萝没有对艾尔莎的道别表现出多悲伤的模样。	赫萝	0.55	赫萝			
1-60	1	60	action	心理	“能不能好好地说出口，我心里有点没自信。” ‖ 尽管艾尔莎嘴上是这样说，但与赫萝以及塔妮娅汇合之后，罗伦斯如事先承诺地一样提起了今后的话题，艾尔莎还是很淡然地说出了她要说的话：自己差不多该回到特雷欧村去了，能与赫萝再会，她感到很开心。 ‖ 也许是因为已经喝醉了酒，又或是因为要在塔妮娅面前表现出大姐的气度，赫萝没有对艾尔莎的道别表现出多悲伤的模样。 ‖ ►再会吧。艾尔莎对她说出稍早了一些的道别之辞后，赫萝也表现得很积极，似乎是已经开始期待彼此的重逢了。 ‖ 当天晚上，塔妮娅和艾尔莎一同回到教会，罗伦斯则是拉着脚下已经踉踉跄跄的赫萝回到旅舍。他有了一种错觉，仿佛赫萝是借着酒力才承担住了旅途中难免的离别寂寞，并且将它轻轻地放在脚旁。 ‖ 然后一夜过去，到了今天，赫萝一早又鼓起了十二分干劲，踌躇满志地加入了饮酒比试的人群中。罗伦斯则是从旅舍里眺望着妻子的英姿，脑海中开始盘算起启程的事宜。	再会吧。艾尔莎对她说出稍早了一些的道别之辞后，赫萝也表现得很积极，似乎是已经开始期待彼此的重逢了。	艾尔莎	0.55	艾尔莎			
1-61	1	61	action	物理	尽管艾尔莎嘴上是这样说，但与赫萝以及塔妮娅汇合之后，罗伦斯如事先承诺地一样提起了今后的话题，艾尔莎还是很淡然地说出了她要说的话：自己差不多该回到特雷欧村去了，能与赫萝再会，她感到很开心。 ‖ 也许是因为已经喝醉了酒，又或是因为要在塔妮娅面前表现出大姐的气度，赫萝没有对艾尔莎的道别表现出多悲伤的模样。 ‖ 再会吧。艾尔莎对她说出稍早了一些的道别之辞后，赫萝也表现得很积极，似乎是已经开始期待彼此的重逢了。 ‖ ►当天晚上，塔妮娅和艾尔莎一同回到教会，罗伦斯则是拉着脚下已经踉踉跄跄的赫萝回到旅舍。他有了一种错觉，仿佛赫萝是借着酒力才承担住了旅途中难免的离别寂寞，并且将它轻轻地放在脚旁。 ‖ 然后一夜过去，到了今天，赫萝一早又鼓起了十二分干劲，踌躇满志地加入了饮酒比试的人群中。罗伦斯则是从旅舍里眺望着妻子的英姿，脑海中开始盘算起启程的事宜。 ‖ 启程。这个字眼总是带着一种倦怠，但罗伦斯另有一项重大使命——要确认独生女儿缪莉过得怎样。他有千百重即刻就背起行囊迈开脚步的理由，却没有丝毫拖拖拉拉的道理。	当天晚上，塔妮娅和艾尔莎一同回到教会，罗伦斯则是拉着脚下已经踉踉跄跄的赫萝回到旅舍。他有了一种错觉，仿佛赫萝是借着酒力才承担住了旅途中难免的离别寂寞，并且将它轻轻地放在脚旁。	艾尔莎	0.55	艾尔莎			
1-62	1	62	action	心理	也许是因为已经喝醉了酒，又或是因为要在塔妮娅面前表现出大姐的气度，赫萝没有对艾尔莎的道别表现出多悲伤的模样。 ‖ 再会吧。艾尔莎对她说出稍早了一些的道别之辞后，赫萝也表现得很积极，似乎是已经开始期待彼此的重逢了。 ‖ 当天晚上，塔妮娅和艾尔莎一同回到教会，罗伦斯则是拉着脚下已经踉踉跄跄的赫萝回到旅舍。他有了一种错觉，仿佛赫萝是借着酒力才承担住了旅途中难免的离别寂寞，并且将它轻轻地放在脚旁。 ‖ ►然后一夜过去，到了今天，赫萝一早又鼓起了十二分干劲，踌躇满志地加入了饮酒比试的人群中。罗伦斯则是从旅舍里眺望着妻子的英姿，脑海中开始盘算起启程的事宜。 ‖ 启程。这个字眼总是带着一种倦怠，但罗伦斯另有一项重大使命——要确认独生女儿缪莉过得怎样。他有千百重即刻就背起行囊迈开脚步的理由，却没有丝毫拖拖拉拉的道理。 ‖ 尽管如此，师傅的旧事却浮现在脑海中，这大概是因为他内心也对接下来的行程有一抹不安。	然后一夜过去，到了今天，赫萝一早又鼓起了十二分干劲，踌躇满志地加入了饮酒比试的人群中。罗伦斯则是从旅舍里眺望着妻子的英姿，脑海中开始盘算起启程的事宜。	赫萝	0.55	赫萝			
1-63	1	63	action	物理	再会吧。艾尔莎对她说出稍早了一些的道别之辞后，赫萝也表现得很积极，似乎是已经开始期待彼此的重逢了。 ‖ 当天晚上，塔妮娅和艾尔莎一同回到教会，罗伦斯则是拉着脚下已经踉踉跄跄的赫萝回到旅舍。他有了一种错觉，仿佛赫萝是借着酒力才承担住了旅途中难免的离别寂寞，并且将它轻轻地放在脚旁。 ‖ 然后一夜过去，到了今天，赫萝一早又鼓起了十二分干劲，踌躇满志地加入了饮酒比试的人群中。罗伦斯则是从旅舍里眺望着妻子的英姿，脑海中开始盘算起启程的事宜。 ‖ ►启程。这个字眼总是带着一种倦怠，但罗伦斯另有一项重大使命——要确认独生女儿缪莉过得怎样。他有千百重即刻就背起行囊迈开脚步的理由，却没有丝毫拖拖拉拉的道理。 ‖ 尽管如此，师傅的旧事却浮现在脑海中，这大概是因为他内心也对接下来的行程有一抹不安。 ‖ 不安的理由，并非是缪莉的行踪依然不清楚，也并非是接下来的冬日旅路要面临诸多艰辛，而是更低俗的，更易懂的，可能还会让一些人大跌眼镜的问题。	启程。这个字眼总是带着一种倦怠，但罗伦斯另有一项重大使命——要确认独生女儿缪莉过得怎样。他有千百重即刻就背起行囊迈开脚步的理由，却没有丝毫拖拖拉拉的道理。	罗伦斯	0.55	罗伦斯			
1-64	1	64	action	物理	当天晚上，塔妮娅和艾尔莎一同回到教会，罗伦斯则是拉着脚下已经踉踉跄跄的赫萝回到旅舍。他有了一种错觉，仿佛赫萝是借着酒力才承担住了旅途中难免的离别寂寞，并且将它轻轻地放在脚旁。 ‖ 然后一夜过去，到了今天，赫萝一早又鼓起了十二分干劲，踌躇满志地加入了饮酒比试的人群中。罗伦斯则是从旅舍里眺望着妻子的英姿，脑海中开始盘算起启程的事宜。 ‖ 启程。这个字眼总是带着一种倦怠，但罗伦斯另有一项重大使命——要确认独生女儿缪莉过得怎样。他有千百重即刻就背起行囊迈开脚步的理由，却没有丝毫拖拖拉拉的道理。 ‖ ►尽管如此，师傅的旧事却浮现在脑海中，这大概是因为他内心也对接下来的行程有一抹不安。 ‖ 不安的理由，并非是缪莉的行踪依然不清楚，也并非是接下来的冬日旅路要面临诸多艰辛，而是更低俗的，更易懂的，可能还会让一些人大跌眼镜的问题。 ‖ 罗伦斯担心的是，与艾尔莎等人度过了意想不到、头晕目眩的热闹日子之后接踵而来的，那种挥之不去的寂寞感。	尽管如此，师傅的旧事却浮现在脑海中，这大概是因为他内心也对接下来的行程有一抹不安。	艾尔莎	0.30	艾尔莎			
1-66	1	66	action	心理	启程。这个字眼总是带着一种倦怠，但罗伦斯另有一项重大使命——要确认独生女儿缪莉过得怎样。他有千百重即刻就背起行囊迈开脚步的理由，却没有丝毫拖拖拉拉的道理。 ‖ 尽管如此，师傅的旧事却浮现在脑海中，这大概是因为他内心也对接下来的行程有一抹不安。 ‖ 不安的理由，并非是缪莉的行踪依然不清楚，也并非是接下来的冬日旅路要面临诸多艰辛，而是更低俗的，更易懂的，可能还会让一些人大跌眼镜的问题。 ‖ ►罗伦斯担心的是，与艾尔莎等人度过了意想不到、头晕目眩的热闹日子之后接踵而来的，那种挥之不去的寂寞感。 ‖ 野猫一样的师傅之所以不愿与人深交，或许是因为他实在是谨慎极了，胆小极了，宁可舍弃旅途人脉带来的商机，也不愿意被退潮一样的寂寥感缠身。罗伦斯不禁在心中如此猜想。 ‖ 罗伦斯与他的告别也是一样唐突。某日早上睁开眼睛，师傅就消失了踪影。	罗伦斯担心的是，与艾尔莎等人度过了意想不到、头晕目眩的热闹日子之后接踵而来的，那种挥之不去的寂寞感。	罗伦斯	0.55	罗伦斯			
1-67	1	67	action	心理	尽管如此，师傅的旧事却浮现在脑海中，这大概是因为他内心也对接下来的行程有一抹不安。 ‖ 不安的理由，并非是缪莉的行踪依然不清楚，也并非是接下来的冬日旅路要面临诸多艰辛，而是更低俗的，更易懂的，可能还会让一些人大跌眼镜的问题。 ‖ 罗伦斯担心的是，与艾尔莎等人度过了意想不到、头晕目眩的热闹日子之后接踵而来的，那种挥之不去的寂寞感。 ‖ ►野猫一样的师傅之所以不愿与人深交，或许是因为他实在是谨慎极了，胆小极了，宁可舍弃旅途人脉带来的商机，也不愿意被退潮一样的寂寥感缠身。罗伦斯不禁在心中如此猜想。 ‖ 罗伦斯与他的告别也是一样唐突。某日早上睁开眼睛，师傅就消失了踪影。 ‖ 被丢下了，被舍弃了，还想再让师傅陪自己走一程——这些想法都没有在罗伦斯的脑海里出现过。原因是他忽地变成了孤零零的一个人，单是为了活下去，就要竭尽全力，使出吃奶的劲来。他无暇去想。	野猫一样的师傅之所以不愿与人深交，或许是因为他实在是谨慎极了，胆小极了，宁可舍弃旅途人脉带来的商机，也不愿意被退潮一样的寂寥感缠身。罗伦斯不禁在心中如此猜想。	罗伦斯	0.55	罗伦斯			
